Name,Station,Code
2017-06-16 11.18.22_00419.AVI,CT04,nothing
2017-06-24 00.03.32_00420.AVI,CT04,nothing
2017-06-27 01.56.16_00421.AVI,CT04,nothing
2017-07-03 03.49.40_00422.AVI,CT04,nothing
2017-07-03 08.27.30_00423.AVI,CT04,nothing
2017-07-05 03.58.20_00424.AVI,CT04,nothing
2017-07-05 05.10.20_00425.AVI,CT04,nothing
2017-07-13 19.44.04_00426.AVI,CT04,nothing
2017-07-14 21.19.58_00427.AVI,CT04,nothing
2017-07-14 21.57.04_00428.AVI,CT04,nothing
2017-07-17 16.58.46_00429.AVI,CT04,nothing
2017-07-22 19.55.34_00430.AVI,CT04,nothing
2017-07-22 20.30.02_00431.AVI,CT04,nothing
2017-07-23 03.53.46_00432.AVI,CT04,nothing
2017-07-23 22.58.36_00433.AVI,CT04,nothing
2017-07-24 20.03.38_00434.AVI,CT04,nothing
2017-07-30 21.25.12_00435.AVI,CT04,nothing
2017-08-01 02.19.38_00436.AVI,CT04,nothing
2017-08-01 16.16.10_00437.AVI,CT04,nothing
2017-08-02 02.00.16_00438.AVI,CT04,nothing
2017-08-02 02.42.28_00439.AVI,CT04,nothing
2017-07-27 23.18.20_00440.AVI,CT04,opossum_common
2017-07-30 21.22.08_00441.AVI,CT04,opossum_common
2017-07-30 21.24.12_00442.AVI,CT04,opossum_common
2017-05-03 03.35.04_00443.AVI,CT04,paca
2017-05-08 04.01.10_00444.AVI,CT04,paca
2017-05-18 22.33.48_00445.AVI,CT04,paca
2017-05-21 01.33.40_00446.AVI,CT04,paca
2017-05-21 01.37.22_00447.AVI,CT04,paca
2017-05-22 03.31.26_00448.AVI,CT04,paca
2017-05-23 03.25.54_00449.AVI,CT04,paca
2017-05-26 02.07.32_00450.AVI,CT04,paca
2017-05-27 23.09.52_00451.AVI,CT04,paca
2017-05-28 02.04.34_00452.AVI,CT04,paca
2017-05-28 21.57.00_00453.AVI,CT04,paca
2017-05-31 04.09.40_00454.AVI,CT04,paca
2017-06-01 02.20.02_00455.AVI,CT04,paca
2017-06-07 03.23.14_00456.AVI,CT04,paca
2017-06-12 19.13.06_00457.AVI,CT04,paca
2017-06-14 19.09.16_00458.AVI,CT04,paca
2017-06-27 00.05.38_00459.AVI,CT04,paca
2017-06-29 03.32.14_00460.AVI,CT04,paca
2017-07-04 04.28.32_00461.AVI,CT04,paca
2017-07-06 04.00.16_00462.AVI,CT04,paca
2017-07-06 04.12.18_00463.AVI,CT04,paca
2017-07-14 19.48.14_00464.AVI,CT04,paca
2017-05-01 16.48.02_00465.AVI,CT04,people
2017-05-22 16.58.20_00469.AVI,CT04,people
2017-05-22 17.03.04_00466.AVI,CT04,people
2017-05-22 17.04.50_00467.AVI,CT04,people
2017-05-22 17.05.36_00468.AVI,CT04,people
2017-06-04 08.24.32_00470.AVI,CT04,setup
2017-08-19 09.30.08_00471.AVI,CT04,setup
2017-08-19 09.30.56_00472.AVI,CT04,setup
2017-07-29 23.29.28_00473.AVI,CT04,skunk_striped
2017-05-05 03.15.48_00474.AVI,CT04,tamandua
2017-05-16 09.29.38_00475.AVI,CT04,tamandua
2017-05-16 12.14.48_00476.AVI,CT04,tamandua
2017-07-16 04.02.00_00477.AVI,CT04,tamandua
2017-07-17 16.52.42_00478.AVI,CT04,uid
2017-08-17 16.24.28_00479.AVI,CT04,uid
2017-05-02 17.03.16_00480.AVI,CT05,agouti
2017-05-05 13.44.16_00481.AVI,CT05,agouti
2017-05-07 17.21.12_00482.AVI,CT05,agouti
2017-04-29 15.58.16_00483.AVI,CT05,nothing
2017-05-08 03.37.34_00484.AVI,CT05,nothing
2017-05-08 03.39.42_00485.AVI,CT05,paca
2017-04-29 12.09.42_00486.AVI,CT05,people
2017-05-22 05.49.26_00487.AVI,CT06,agouti
2017-05-22 05.50.28_00488.AVI,CT06,agouti
2017-05-23 06.06.16_00489.AVI,CT06,agouti
2017-05-27 16.38.48_00490.AVI,CT06,agouti
2017-05-30 08.17.10_00491.AVI,CT06,agouti
2017-06-02 08.16.18_00492.AVI,CT06,agouti
2017-06-05 05.51.02_00493.AVI,CT06,agouti
2017-06-08 13.22.58_00494.AVI,CT06,agouti
